amfi_code,alpha,beta,alpha_rank
100016,0.03747580763443281,-0.05826843143880891,39
100025,0.042817920315060876,0.0011582183155281404,38
100033,0.2719535450128533,0.0051035258305283,6
101206,0.21399784776051212,0.02108631625012805,12
101207,0.10897091901704538,-0.06528924788351526,27
101208,0.060861457957871144,0.00026670968338238303,33
102885,0.17048756803412696,-0.019486785689474546,19
102886,0.028969397866379445,-0.04212502902189432,40
102887,0.16211256794033255,0.016682689437770803,21
118632,0.21829397904608644,-0.00835383212696202,11
118633,0.15643835948169668,-0.03663900671860935,22
118634,0.1750072167561127,0.10349663691337592,18
118635,0.1513635464823924,-0.0014335213897801293,23
118636,0.05074772999976104,0.0012566742731558512,35
119092,0.0689952982167755,0.009730745001153639,30
119093,0.08232801295222093,0.02588321244009315,28
119094,0.2607666908004223,-0.06626542862803757,9
119095,0.04801595363775955,-0.06695117463929198,37
119120,0.05620895216638369,-0.006413850728276473,34
119551,0.23201007160635082,-0.03175144113890974,10
119552,0.1986859936686296,-0.026159307513513398,15
119598,0.3033696538698332,-0.023196062044059707,1
119599,0.048824215945539845,0.062001804382671694,36
120503,0.17703302365844073,-0.04026895236982061,17
120504,0.2119482701352573,0.01623216976141703,13
120505,0.2926358334175106,0.0005490042506317283,3
120506,0.1625385327998104,0.041896462728119754,20
120507,0.06746210411099539,-0.0004440926329707229,31
120841,0.13042924450705445,0.0363563990221998,25
120842,0.0780443887615508,0.018056874208118173,29
120843,0.27330465038306057,-0.022829569792426545,5
120844,0.06455677495375998,-0.00040074423947840073,32
125497,0.17729754927531766,0.048820404259577385,16
125498,0.11989100971217971,0.00905441262173916,26
148567,0.2698375144191807,0.023683558075848606,7
148568,0.20873010086942337,-0.026387719943843004,14
148569,0.2827036785246582,0.01813388408385924,4
149322,0.13173190226099432,-0.004050271130006511,24
149323,0.26598577542043045,-0.0025230046646992346,8
149324,0.3005787817097677,0.011455159960520708,2
